"country","customer_id","invoice_number","invoice_generated_date","invoice_due_date","invoice_amount","invoice_settled_date","days_to_settle","days_late","invoice_status","invoice_dispute_resolution"
United States,"6831-FIODB",2487299552,2021-06-20,2021-07-20,4870,2021-07-30,40,10,Disputed,In favor of Yellevate
United States,"4460-ZXNDN",2487366623,2021-05-14,2021-06-13,8076,2021-06-22,39,9,Disputed,In favor of Yellevate
United States,"6077-FDQRK",2498731372,2021-05-04,2021-06-03,4259,2021-05-24,20,0,Accepted,In favor of Yellevate
Russia,"8364-UWVLM",2506087360,2020-02-04,2020-03-05,6978,2020-03-01,26,0,Accepted,In favor of Yellevate
United States,"7050-KQLDO",2511656905,2021-11-19,2021-12-19,6412,2021-12-03,14,0,Accepted,In favor of Yellevate
France,"8976-AMJEO",2514985347,2020-09-26,2020-10-26,5318,2020-10-16,20,0,Accepted,In favor of Yellevate
Russia,"7946-HJDUR",2515817366,2021-08-14,2021-09-13,5953,2021-09-05,22,0,Accepted,In favor of Yellevate
United States,"4460-ZXNDN",2527171256,2021-04-22,2021-05-22,7516,2021-06-25,64,34,Disputed,In favor of Yellevate
Spain,"6296-UKEUZ",2528333146,2020-08-03,2020-09-02,4531,2020-08-19,16,0,Disputed,In favor of Customer
United States,"0465-DTULQ",2528705556,2021-04-02,2021-05-02,6300,2021-04-28,26,0,Accepted,In favor of Yellevate
China,"6632-CGYHU",2529299296,2021-10-31,2021-11-30,9471,2021-11-14,14,0,Accepted,In favor of Yellevate
France,"4092-ZAVRG",2529818478,2021-04-08,2021-05-08,7741,2021-04-14,6,0,Accepted,In favor of Yellevate
France,"6048-QPZCF",2536946008,2021-04-08,2021-05-08,8256,2021-04-12,4,0,Accepted,In favor of Yellevate
Russia,"5924-UOPGH",2538593943,2021-01-19,2021-02-18,7236,2021-03-06,46,16,Disputed,In favor of Customer
France,"7245-CKNCN",2548747107,2020-11-07,2020-12-07,7382,2020-11-20,13,0,Accepted,In favor of Yellevate
Spain,"9460-VAZGD",2549781436,2021-07-24,2021-08-23,7906,2021-08-13,20,0,Accepted,In favor of Yellevate
Spain,"3271-YDPUJ",2556169247,2021-02-26,2021-03-28,3988,2021-03-26,28,0,Accepted,In favor of Yellevate
China,"5920-DPXLN",2561298121,2021-01-01,2021-01-31,3610,2021-01-13,12,0,Accepted,In favor of Yellevate
Russia,"5924-UOPGH",2567314578,2021-04-14,2021-05-14,8126,2021-05-07,23,0,Accepted,In favor of Yellevate
United States,"5592-UQXSS",2570203308,2020-05-28,2020-06-27,4433,2020-06-29,32,2,Accepted,In favor of Yellevate
France,"2621-XCLEH",2571390571,2021-06-24,2021-07-24,9062,2021-07-29,35,5,Accepted,In favor of Yellevate
Spain,"7372-CESLR",2585470999,2020-03-17,2020-04-16,3457,2020-04-09,23,0,Accepted,In favor of Yellevate
China,"1080-NDGAE",2592238538,2020-05-27,2020-06-26,9225,2020-06-29,33,3,Disputed,In favor of Customer
China,"8156-PCYBM",2597867711,2021-01-19,2021-02-18,5582,2021-02-12,24,0,Accepted,In favor of Yellevate
Russia,"5613-UHVMG",2601239901,2020-08-29,2020-09-28,5554,2020-10-13,45,15,Disputed,In favor of Yellevate
China,"6160-HCSFI",2603539730,2020-02-25,2020-03-26,8321,2020-03-19,23,0,Accepted,In favor of Yellevate
United States,"7856-ODQFO",2606687623,2020-07-27,2020-08-26,6317,2020-08-22,26,0,Accepted,In favor of Yellevate
France,"5164-VMYWJ",1905229160,2020-07-26,2020-08-25,7822,2020-09-02,38,8,Disputed,In favor of Yellevate
China,"5529-TBPGK",2620239474,2020-11-12,2020-12-12,7612,2020-12-23,41,11,Disputed,In favor of Yellevate
China,"9841-XLGBV",2624507671,2021-09-19,2021-10-19,6858,2021-10-09,20,0,Accepted,In favor of Yellevate
United States,"3993-QUNVJ",2631512798,2021-04-16,2021-05-16,7761,2021-04-27,11,0,Accepted,In favor of Yellevate
Spain,"8690-EEBEO",2634865247,2021-11-11,2021-12-11,5443,2021-12-18,37,7,Accepted,In favor of Yellevate
China,"3598-DNURW",2637006256,2020-10-24,2020-11-23,4632,2020-11-07,14,0,Accepted,In favor of Yellevate
Russia,"8887-NCUZC",2640415165,2021-01-12,2021-02-11,3696,2021-02-09,28,0,Accepted,In favor of Yellevate
France,"9758-AIEIK",2649653276,2020-05-14,2020-06-13,5288,2020-06-02,19,0,Accepted,In favor of Yellevate
United States,"9928-IJYBQ",2652788570,2020-11-02,2020-12-02,5653,2020-12-09,37,7,Accepted,In favor of Yellevate
Russia,"8102-ABPKQ",2659238903,2021-03-09,2021-04-08,4686,2021-04-12,34,4,Accepted,In favor of Yellevate
Russia,"9181-HEKGV",2666514859,2021-08-27,2021-09-26,9982,2021-10-06,40,10,Disputed,In favor of Yellevate
United States,"5592-UQXSS",2669865910,2021-09-07,2021-10-07,1453,2021-10-03,26,0,Accepted,In favor of Yellevate
China,"3569-VJWXS",2672884008,2021-06-23,2021-07-23,8856,2021-07-03,10,0,Accepted,In favor of Yellevate
Russia,"8102-ABPKQ",2675977268,2021-05-29,2021-06-28,6735,2021-07-23,55,25,Disputed,In favor of Yellevate
China,"2820-XGXSB",2677499546,2021-10-13,2021-11-12,5418,2021-10-18,5,0,Accepted,In favor of Yellevate
United States,"9928-IJYBQ",2680537112,2020-12-31,2021-01-30,4968,2021-02-02,33,3,Accepted,In favor of Yellevate
France,"5164-VMYWJ",2686795105,2021-01-14,2021-02-13,5186,2021-02-09,26,0,Accepted,In favor of Yellevate
China,"3598-DNURW",2690415975,2020-07-20,2020-08-19,8454,2020-08-13,24,0,Accepted,In favor of Yellevate
France,"6833-ETVHD",2691990675,2020-05-01,2020-05-31,9370,2020-05-21,20,0,Accepted,In favor of Yellevate
United States,"7260-ZHAKS",2693687613,2021-11-06,2021-12-06,5624,2021-11-27,21,0,Accepted,In favor of Yellevate
Spain,"7372-CESLR",2694732247,2020-03-18,2020-04-17,3008,2020-04-09,22,0,Accepted,In favor of Yellevate
Spain,"0688-XNJRO",2698045799,2021-03-26,2021-04-25,5516,2021-05-27,62,32,Disputed,In favor of Yellevate
France,"7938-EVASK",2699755955,2021-06-22,2021-07-22,3881,2021-07-27,35,5,Accepted,In favor of Yellevate
United States,"6077-FDQRK",2702927066,2021-05-14,2021-06-13,4307,2021-05-28,14,0,Accepted,In favor of Yellevate
China,"2423-QOKIO",2714712437,2020-12-28,2021-01-27,9631,2021-01-22,25,0,Accepted,In favor of Yellevate
Russia,"3568-JJMFW",2717531125,2020-10-05,2020-11-04,8313,2020-10-28,23,0,Disputed,In favor of Yellevate
Russia,"6627-ELFBK",2726493725,2021-02-13,2021-03-15,5735,2021-02-25,12,0,Accepted,In favor of Yellevate
China,"2423-QOKIO",2726898858,2021-06-01,2021-07-01,7798,2021-06-18,17,0,Accepted,In favor of Yellevate
France,"9117-LYRCE",9275623026,2020-07-27,2020-08-26,6995,2020-10-02,67,37,Disputed,In favor of Customer
France,"3448-OWJOT",312361525,2020-07-05,2020-08-04,6613,2020-08-13,39,9,Disputed,In favor of Yellevate
France,"8389-TCXFQ",2741619477,2021-06-11,2021-07-11,8819,2021-07-06,25,0,Accepted,In favor of Yellevate
China,"2676-DZINU",2742482273,2020-11-15,2020-12-15,5593,2020-12-06,21,0,Disputed,In favor of Yellevate
Spain,"9460-VAZGD",2744921812,2020-08-20,2020-09-19,5205,2020-09-06,17,0,Accepted,In favor of Yellevate
Spain,"0688-XNJRO",2745672878,2020-11-14,2020-12-14,2305,2020-12-25,41,11,Accepted,In favor of Yellevate
Russia,"5875-VZQCZ",2746735879,2021-03-25,2021-04-24,5079,2021-05-06,42,12,Disputed,In favor of Yellevate
France,"5164-VMYWJ",8467769345,2020-07-28,2020-08-27,8676,2020-09-15,49,19,Disputed,In favor of Customer
China,"0379-NEVHP",2748334767,2021-06-24,2021-07-24,6166,2021-07-11,17,0,Accepted,In favor of Yellevate
China,"7209-MDWKR",2752068327,2021-07-23,2021-08-22,5603,2021-08-18,26,0,Accepted,In favor of Yellevate
United States,"4460-ZXNDN",2757630472,2021-04-28,2021-05-28,6263,2021-06-01,34,4,Accepted,In favor of Yellevate
Spain,"1168-BEASA",2758133753,2021-06-12,2021-07-12,2680,2021-07-03,21,0,Accepted,In favor of Yellevate
United States,"2687-XWAMA",2765073058,2021-04-15,2021-05-15,5533,2021-04-25,10,0,Accepted,In favor of Yellevate
Spain,"9460-VAZGD",2771850469,2020-10-28,2020-11-27,4513,2020-11-22,25,0,Accepted,In favor of Yellevate
Russia,"7695-NKUXM",2783374260,2021-03-20,2021-04-19,4990,2021-03-24,4,0,Accepted,In favor of Yellevate
France,"7938-EVASK",2794370654,2020-01-16,2020-02-15,8778,2020-02-20,35,5,Accepted,In favor of Yellevate
China,"7841-HROAQ",2800981232,2020-07-02,2020-08-01,8914,2020-07-28,26,0,Accepted,In favor of Yellevate
France,"5164-VMYWJ",2801147000,2021-03-03,2021-04-02,7974,2021-03-25,22,0,Accepted,In favor of Yellevate
China,"0709-LZRJV",2806337298,2020-02-19,2020-03-20,6285,2020-03-25,35,5,Accepted,In favor of Yellevate
France,"8389-TCXFQ",2806345363,2021-04-18,2021-05-18,5037,2021-05-08,20,0,Accepted,In favor of Yellevate
China,"5196-TWQXF",2811916189,2021-10-28,2021-11-27,5407,2021-11-13,16,0,Accepted,In favor of Yellevate
China,"1080-NDGAE",2818239190,2020-07-15,2020-08-14,6148,2020-08-13,29,0,Accepted,In favor of Yellevate
China,"2820-XGXSB",2819777550,2021-05-24,2021-06-23,6145,2021-05-28,4,0,Accepted,In favor of Yellevate
China,"9212-BTDMX",2824604487,2020-01-28,2020-02-27,7425,2020-02-13,16,0,Accepted,In favor of Yellevate
United States,"6077-FDQRK",2827612677,2020-11-21,2020-12-21,3336,2020-12-07,16,0,Accepted,In favor of Yellevate
Russia,"8102-ABPKQ",2836103383,2020-05-10,2020-06-09,6821,2020-06-23,44,14,Disputed,In favor of Yellevate
France,"9117-LYRCE",2840107285,2021-01-02,2021-02-01,4959,2021-02-06,35,5,Accepted,In favor of Yellevate
United States,"9928-IJYBQ",2843203106,2020-06-27,2020-07-27,4575,2020-07-31,34,4,Accepted,In favor of Yellevate
France,"9322-YCTQO",2863276075,2020-03-26,2020-04-25,9594,2020-05-06,41,11,Accepted,In favor of Yellevate
China,"3598-DNURW",2867355070,2021-11-05,2021-12-05,9041,2021-11-22,17,0,Accepted,In favor of Yellevate
China,"6708-DPYTF",2871447909,2021-05-05,2021-06-04,7649,2021-06-03,29,0,Accepted,In favor of Yellevate
France,"8976-AMJEO",2872500354,2020-03-25,2020-04-24,6741,2020-04-18,24,0,Accepted,In favor of Yellevate
China,"0709-LZRJV",2879905746,2021-11-24,2021-12-24,5629,2021-12-24,30,0,Accepted,In favor of Yellevate
Russia,"5875-VZQCZ",2882083969,2021-05-22,2021-06-21,6606,2021-07-08,47,17,Disputed,In favor of Yellevate
United States,"7050-KQLDO",2884857136,2020-09-19,2020-10-19,5253,2020-10-13,24,0,Accepted,In favor of Yellevate
Spain,"7372-CESLR",2898287464,2020-10-28,2020-11-27,1270,2020-11-25,28,0,Accepted,In favor of Yellevate
China,"7329-TWKLF",2899243412,2020-06-30,2020-07-30,7422,2020-07-23,23,0,Accepted,In favor of Yellevate
Spain,"7372-CESLR",2900528557,2020-11-28,2020-12-28,4176,2020-12-31,33,3,Accepted,In favor of Yellevate
China,"7209-MDWKR",2906379133,2020-12-17,2021-01-16,6675,2021-02-01,46,16,Accepted,In favor of Yellevate
China,"1080-NDGAE",2912484665,2021-08-05,2021-09-04,9216,2021-09-08,34,4,Disputed,In favor of Yellevate
France,"7245-CKNCN",2923296215,2020-01-04,2020-02-03,6771,2020-01-28,24,0,Accepted,In favor of Yellevate
Russia,"5148-SYKLB",2924198306,2021-10-31,2021-11-30,9126,2021-11-22,22,0,Accepted,In favor of Yellevate
Russia,"6627-ELFBK",2924562161,2020-12-17,2021-01-16,9873,2021-01-03,17,0,Accepted,In favor of Yellevate
China,"1080-NDGAE",2925434206,2021-10-11,2021-11-10,7607,2021-10-23,12,0,Accepted,In favor of Yellevate
Spain,"6177-VTITE",2926591272,2021-06-22,2021-07-22,3662,2021-07-16,24,0,Disputed,In favor of Yellevate
United States,"7260-ZHAKS",2936586813,2021-04-30,2021-05-30,5978,2021-05-30,30,0,Accepted,In favor of Yellevate
Russia,"7695-NKUXM",2938081000,2020-03-19,2020-04-18,5721,2020-04-06,18,0,Disputed,In favor of Yellevate
France,"9725-EZTEJ",2073573910,2020-07-30,2020-08-29,7495,2020-09-02,34,4,Disputed,In favor of Yellevate
United States,"7758-WKLVM",2947584001,2021-03-19,2021-04-18,7250,2021-05-11,53,23,Disputed,In favor of Yellevate
Spain,"9460-VAZGD",2947790220,2020-01-05,2020-02-04,3228,2020-01-19,14,0,Accepted,In favor of Yellevate
Russia,"3271-HYHDN",2949843698,2020-04-10,2020-05-10,3935,2020-04-15,5,0,Accepted,In favor of Yellevate
China,"5920-DPXLN",2952430924,2021-06-11,2021-07-11,5309,2021-06-21,10,0,Accepted,In favor of Yellevate
France,"5164-VMYWJ",2953405140,2021-08-21,2021-09-20,6141,2021-09-12,22,0,Accepted,In favor of Yellevate
Spain,"0688-XNJRO",2960848343,2021-08-22,2021-09-21,3660,2021-09-26,35,5,Accepted,In favor of Yellevate
China,"6632-CGYHU",2962262974,2021-09-06,2021-10-06,5650,2021-09-13,7,0,Accepted,In favor of Yellevate
Russia,"2824-HJQPP",2964011777,2021-01-06,2021-02-05,7050,2021-01-30,24,0,Accepted,In favor of Yellevate
Russia,"9181-HEKGV",2966579935,2021-05-18,2021-06-17,9985,2021-07-15,58,28,Disputed,In favor of Yellevate
Spain,"8942-ERSWK",2969671399,2021-05-26,2021-06-25,747,2021-05-31,5,0,Accepted,In favor of Yellevate
Spain,"1168-BEASA",2969926155,2021-06-11,2021-07-11,8263,2021-07-03,22,0,Accepted,In favor of Yellevate
China,"5920-DPXLN",2969979027,2020-12-30,2021-01-29,5034,2021-01-14,15,0,Accepted,In favor of Yellevate
United States,"6831-FIODB",2970425808,2021-08-13,2021-09-12,3574,2021-09-01,19,0,Accepted,In favor of Yellevate
Spain,"7372-CESLR",2977673351,2021-06-03,2021-07-03,3489,2021-06-24,21,0,Accepted,In favor of Yellevate
France,"8976-AMJEO",2979360755,2020-05-12,2020-06-11,10367,2020-06-02,21,0,Accepted,In favor of Yellevate
United States,"7856-ODQFO",2987359559,2021-03-08,2021-04-07,5796,2021-04-24,47,17,Disputed,In favor of Yellevate
China,"0379-NEVHP",2998565198,2020-02-12,2020-03-13,2821,2020-02-28,16,0,Accepted,In favor of Yellevate
China,"6632-CGYHU",3007642107,2020-05-20,2020-06-19,5603,2020-06-01,12,0,Accepted,In favor of Yellevate
Russia,"8364-UWVLM",3014047428,2020-11-12,2020-12-12,9203,2020-12-08,26,0,Accepted,In favor of Yellevate
China,"7209-MDWKR",3021707927,2020-08-20,2020-09-19,7555,2020-09-17,28,0,Accepted,In favor of Yellevate
France,"7600-OISKG",3023099566,2021-02-18,2021-03-20,4551,2021-03-07,17,0,Accepted,In favor of Yellevate
United States,"2026-XLBER",3025631462,2021-04-26,2021-05-26,10354,2021-05-25,29,0,Disputed,In favor of Yellevate
Spain,"9250-VHLWY",3030097145,2020-02-20,2020-03-21,6841,2020-03-18,27,0,Accepted,In favor of Yellevate
Russia,"5148-SYKLB",3032739429,2021-05-10,2021-06-09,8641,2021-06-11,32,2,Disputed,In favor of Yellevate
Russia,"1604-LIFKX",3037486776,2021-01-29,2021-02-28,7937,2021-03-11,41,11,Accepted,In favor of Yellevate
Russia,"8887-NCUZC",3047515591,2021-02-03,2021-03-05,3717,2021-03-18,43,13,Disputed,In favor of Yellevate
China,"2676-DZINU",3053205526,2020-05-28,2020-06-27,5656,2020-06-10,13,0,Accepted,In favor of Yellevate
United States,"9928-IJYBQ",3053271258,2021-04-03,2021-05-03,8395,2021-05-09,36,6,Accepted,In favor of Yellevate
China,"0379-NEVHP",3056950219,2021-08-11,2021-09-10,4708,2021-08-21,10,0,Accepted,In favor of Yellevate
France,"9758-AIEIK",3059762404,2020-05-25,2020-06-24,5134,2020-06-11,17,0,Accepted,In favor of Yellevate
China,"6632-CGYHU",3060840745,2020-10-25,2020-11-24,8368,2020-11-09,15,0,Accepted,In favor of Yellevate
China,"9174-IYKOC",3066073542,2020-03-02,2020-04-01,5379,2020-04-02,31,1,Accepted,In favor of Yellevate
Russia,"2824-HJQPP",3077571538,2021-02-27,2021-03-29,6454,2021-03-18,19,0,Accepted,In favor of Yellevate
France,"4640-FGEJI",3078815567,2021-04-02,2021-05-02,9462,2021-04-21,19,0,Accepted,In favor of Yellevate
United States,"7228-LEPPM",3085234788,2021-02-09,2021-03-11,3470,2021-03-14,33,3,Accepted,In favor of Yellevate
France,"7600-OISKG",3163580771,2020-08-01,2020-08-31,7902,2020-08-30,29,0,Disputed,In favor of Yellevate
United States,"7758-WKLVM",3089793704,2020-10-09,2020-11-08,5682,2020-11-10,32,2,Accepted,In favor of Yellevate
France,"8389-TCXFQ",6941328190,2020-08-01,2020-08-31,7183,2020-09-04,34,4,Disputed,In favor of Yellevate
China,"9014-WENVB",3090692385,2020-11-22,2020-12-22,8968,2020-12-24,32,2,Accepted,In favor of Yellevate
Russia,"8364-UWVLM",3091329049,2021-02-06,2021-03-08,9159,2021-03-08,30,0,Disputed,In favor of Yellevate
Russia,"6627-ELFBK",3094167273,2021-08-01,2021-08-31,8683,2021-08-23,22,0,Accepted,In favor of Yellevate
Russia,"8102-ABPKQ",3097229122,2021-04-08,2021-05-08,5601,2021-05-08,30,0,Disputed,In favor of Yellevate
China,"9014-WENVB",3102041998,2020-01-17,2020-02-16,6999,2020-02-15,29,0,Accepted,In favor of Yellevate
France,"4632-QZOKX",7603025462,2020-08-02,2020-09-01,5806,2020-09-14,43,13,Disputed,In favor of Customer
Spain,"8942-ERSWK",3110080050,2020-09-18,2020-10-18,1306,2020-09-30,12,0,Accepted,In favor of Yellevate
Russia,"3568-JJMFW",3110539999,2020-03-30,2020-04-29,3621,2020-04-29,30,0,Disputed,In favor of Yellevate
China,"7209-MDWKR",3110878377,2021-06-19,2021-07-19,3623,2021-07-12,23,0,Accepted,In favor of Yellevate
Spain,"8942-ERSWK",3112379825,2021-05-25,2021-06-24,5160,2021-06-02,8,0,Accepted,In favor of Yellevate
Spain,"9250-VHLWY",3113502518,2020-09-15,2020-10-15,4649,2020-10-15,30,0,Accepted,In favor of Yellevate
United States,"2026-XLBER",3115534110,2021-05-31,2021-06-30,7066,2021-06-26,26,0,Disputed,In favor of Yellevate
Spain,"9250-VHLWY",3121730234,2020-10-05,2020-11-04,4887,2020-10-26,21,0,Accepted,In favor of Yellevate
Spain,"8942-ERSWK",3123420222,2020-07-03,2020-08-02,2541,2020-07-11,8,0,Accepted,In favor of Yellevate
China,"2423-QOKIO",3138040805,2020-10-02,2020-11-01,7521,2020-11-01,30,0,Accepted,In favor of Yellevate
United States,"9149-MATVB",3141193941,2021-01-09,2021-02-08,6581,2021-02-03,25,0,Accepted,In favor of Yellevate
Russia,"6627-ELFBK",3146057306,2020-08-08,2020-09-07,7800,2020-08-26,18,0,Accepted,In favor of Yellevate
Russia,"7946-HJDUR",3148320908,2021-10-31,2021-11-30,5648,2021-11-28,28,0,Accepted,In favor of Yellevate
France,"5284-DJOZO",3148914031,2020-02-28,2020-03-29,7891,2020-03-14,15,0,Accepted,In favor of Yellevate
China,"8156-PCYBM",3148980303,2020-05-17,2020-06-16,8220,2020-06-15,29,0,Accepted,In favor of Yellevate
Spain,"9250-VHLWY",3153726272,2021-01-20,2021-02-19,6543,2021-02-10,21,0,Accepted,In favor of Yellevate
France,"5284-DJOZO",847327295,2020-08-04,2020-09-03,7295,2020-09-09,36,6,Disputed,In favor of Yellevate
United States,"2687-XWAMA",3155625555,2021-05-06,2021-06-05,4172,2021-05-09,3,0,Accepted,In favor of Yellevate
China,"7841-HROAQ",3155920868,2020-08-08,2020-09-07,5374,2020-09-04,27,0,Accepted,In favor of Yellevate
United States,"6077-FDQRK",3158139891,2020-07-29,2020-08-28,3259,2020-08-16,18,0,Accepted,In favor of Yellevate
Russia,"5613-UHVMG",3160080084,2021-04-16,2021-05-16,7186,2021-05-24,38,8,Accepted,In favor of Yellevate
United States,"3831-FXWYK",3161602616,2020-03-29,2020-04-28,7928,2020-05-06,38,8,Accepted,In favor of Yellevate
China,"3598-DNURW",3162263646,2020-09-29,2020-10-29,9091,2020-10-19,20,0,Accepted,In favor of Yellevate
France,"8389-TCXFQ",8193753679,2020-08-04,2020-09-03,6965,2020-09-13,40,10,Disputed,In favor of Yellevate
France,"9771-QTLGZ",6265467648,2020-08-07,2020-09-06,5119,2020-08-31,24,0,Disputed,In favor of Yellevate
Russia,"3568-JJMFW",3168924777,2021-04-25,2021-05-25,7288,2021-05-13,18,0,Disputed,In favor of Yellevate
United States,"7050-KQLDO",3170339882,2020-03-07,2020-04-06,6224,2020-04-05,29,0,Accepted,In favor of Yellevate
China,"2125-HJDLA",3171200707,2020-12-30,2021-01-29,6193,2021-02-16,48,18,Accepted,In favor of Yellevate
Spain,"7654-DOLHO",3177584497,2020-08-11,2020-09-10,2304,2020-09-06,26,0,Accepted,In favor of Yellevate
Russia,"6004-KITZM",3180169613,2020-06-16,2020-07-16,6551,2020-07-06,20,0,Accepted,In favor of Yellevate
France,"7245-CKNCN",3191043730,2020-11-02,2020-12-02,6157,2020-11-18,16,0,Accepted,In favor of Yellevate
Russia,"3568-JJMFW",3191622040,2021-05-25,2021-06-24,9664,2021-06-10,16,0,Disputed,In favor of Yellevate
Spain,"9883-SDWFS",3193716421,2020-05-23,2020-06-22,1901,2020-07-05,43,13,Disputed,In favor of Yellevate
Russia,"8102-ABPKQ",3197860193,2020-09-22,2020-10-22,3286,2020-11-02,41,11,Accepted,In favor of Yellevate
Russia,"6627-ELFBK",3205321485,2020-01-20,2020-02-19,6052,2020-02-11,22,0,Accepted,In favor of Yellevate
United States,"7260-ZHAKS",3206241963,2021-02-22,2021-03-24,8944,2021-03-16,22,0,Accepted,In favor of Yellevate
China,"8820-BLYDZ",3208997911,2021-01-12,2021-02-11,4632,2021-01-21,9,0,Accepted,In favor of Yellevate
China,"2676-DZINU",3218896620,2021-08-05,2021-09-04,5250,2021-08-13,8,0,Accepted,In favor of Yellevate
Russia,"8364-UWVLM",3219214405,2021-03-16,2021-04-15,6267,2021-04-19,34,4,Disputed,In favor of Yellevate
Russia,"2824-HJQPP",3223401501,2020-11-30,2020-12-30,10008,2020-12-30,30,0,Accepted,In favor of Yellevate
United States,"4460-ZXNDN",3224727771,2021-02-23,2021-03-25,8471,2021-04-01,37,7,Disputed,In favor of Yellevate
France,"9117-LYRCE",3225557120,2021-02-20,2021-03-22,2925,2021-03-23,31,1,Accepted,In favor of Yellevate
China,"6708-DPYTF",3228259319,2020-11-11,2020-12-11,9419,2020-12-15,34,4,Accepted,In favor of Yellevate
China,"7841-HROAQ",3230944193,2020-07-24,2020-08-23,7784,2020-08-15,22,0,Accepted,In favor of Yellevate
France,"4092-ZAVRG",3240616518,2021-10-18,2021-11-17,6356,2021-10-22,4,0,Disputed,In favor of Customer
China,"3569-VJWXS",3242588970,2021-05-15,2021-06-14,3523,2021-06-07,23,0,Accepted,In favor of Yellevate
United States,"4460-ZXNDN",3242899571,2020-03-25,2020-04-24,4559,2020-04-28,34,4,Accepted,In favor of Yellevate
United States,"3993-QUNVJ",3244991557,2021-04-06,2021-05-06,7644,2021-04-17,11,0,Accepted,In favor of Yellevate
United States,"7758-WKLVM",3248497540,2020-06-09,2020-07-09,6806,2020-07-06,27,0,Accepted,In favor of Yellevate
United States,"7758-WKLVM",3248545962,2020-03-24,2020-04-23,6308,2020-05-07,44,14,Disputed,In favor of Yellevate
United States,"9149-MATVB",3250840107,2021-11-28,2021-12-28,4257,2021-12-23,25,0,Accepted,In favor of Yellevate
United States,"7856-ODQFO",3261039339,2021-03-29,2021-04-28,1463,2021-04-24,26,0,Accepted,In favor of Yellevate
United States,"9928-IJYBQ",3264536681,2020-10-15,2020-11-14,3277,2020-11-16,32,2,Accepted,In favor of Yellevate
France,"8976-AMJEO",3267864290,2020-01-15,2020-02-14,5755,2020-02-15,31,1,Accepted,In favor of Yellevate
Spain,"9883-SDWFS",3271911081,2021-08-26,2021-09-25,4968,2021-10-15,50,20,Disputed,In favor of Yellevate
China,"2676-DZINU",3284111300,2020-07-14,2020-08-13,8931,2020-08-02,19,0,Accepted,In favor of Yellevate
France,"5573-KSOIA",3285658330,2021-08-19,2021-09-18,4754,2021-09-26,38,8,Accepted,In favor of Yellevate
China,"1080-NDGAE",3289097967,2021-08-30,2021-09-29,8260,2021-10-03,34,4,Disputed,In favor of Yellevate
France,"0783-PEPYR",3289137440,2020-08-02,2020-09-01,8475,2020-09-13,42,12,Accepted,In favor of Yellevate
Spain,"6391-GBFQJ",3289419980,2020-03-24,2020-04-23,711,2020-04-09,16,0,Accepted,In favor of Yellevate
China,"9212-BTDMX",3294653032,2020-12-07,2021-01-06,7773,2020-12-19,12,0,Accepted,In favor of Yellevate
Spain,"7372-CESLR",3298709830,2020-04-10,2020-05-10,2124,2020-05-04,24,0,Accepted,In favor of Yellevate
France,"9725-EZTEJ",3312319528,2020-06-07,2020-07-07,7260,2020-06-16,9,0,Accepted,In favor of Yellevate
United States,"6077-FDQRK",3314980148,2020-01-08,2020-02-07,2884,2020-02-01,24,0,Accepted,In favor of Yellevate
United States,"2026-XLBER",3315197094,2021-09-13,2021-10-13,6179,2021-10-03,20,0,Disputed,In favor of Yellevate
France,"6833-ETVHD",3319185490,2020-05-10,2020-06-09,7776,2020-05-30,20,0,Accepted,In favor of Yellevate
China,"7329-TWKLF",3320090298,2021-05-19,2021-06-18,7965,2021-06-05,17,0,Accepted,In favor of Yellevate
China,"5529-TBPGK",3336714183,2020-03-17,2020-04-16,5336,2020-04-15,29,0,Accepted,In favor of Yellevate
United States,"9323-NDIOV",3341311423,2021-09-02,2021-10-02,6897,2021-09-28,26,0,Accepted,In favor of Yellevate
China,"0709-LZRJV",3342383577,2021-06-21,2021-07-21,3609,2021-07-12,21,0,Accepted,In favor of Yellevate
China,"6632-CGYHU",3345939091,2021-11-21,2021-12-21,10241,2021-11-28,7,0,Accepted,In favor of Yellevate
Russia,"3568-JJMFW",3347038968,2020-06-13,2020-07-13,8170,2020-07-10,27,0,Disputed,In favor of Yellevate
France,"0783-PEPYR",3347423476,2021-05-27,2021-06-26,10452,2021-07-07,41,11,Accepted,In favor of Yellevate
Russia,"8102-ABPKQ",3353183486,2020-10-29,2020-11-28,4970,2020-11-30,32,2,Accepted,In favor of Yellevate
China,"0709-LZRJV",3355481569,2021-08-27,2021-09-26,6273,2021-09-19,23,0,Accepted,In favor of Yellevate
China,"6160-HCSFI",3357258713,2021-03-24,2021-04-23,6537,2021-04-07,14,0,Accepted,In favor of Yellevate
France,"5164-VMYWJ",3359614666,2020-10-30,2020-11-29,5693,2020-11-17,18,0,Accepted,In favor of Yellevate
France,"9322-YCTQO",3362601597,2021-11-30,2021-12-30,5254,2022-01-05,36,6,Accepted,In favor of Yellevate
United States,"2687-XWAMA",3363342172,2021-03-09,2021-04-08,4475,2021-03-26,17,0,Accepted,In favor of Yellevate
France,"4640-FGEJI",3369665872,2021-04-20,2021-05-20,6348,2021-05-16,26,0,Accepted,In favor of Yellevate
Russia,"6627-ELFBK",3371422208,2021-05-11,2021-06-10,6103,2021-05-25,14,0,Accepted,In favor of Yellevate
Spain,"8942-ERSWK",3372046335,2020-03-17,2020-04-16,2616,2020-04-12,26,0,Disputed,In favor of Yellevate
